"ID","时间","分类","二级分类","类型","金额","币种","账户1","账户2","备注","已报销","手续费","优惠券","记账者","账单标记","标签","账单图片","关联账单"
"qj1775051565696102307","2026-03-01 21:51:49","日常","交通","支出","54.0","CNY",,,"滴滴","","","","demonCupid",,,,""
"qj1775051605707100420","2026-03-01 21:53:25","餐饮","校园卡","支出","500.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051623275145855","2026-03-02 21:53:35","日常","学习","支出","75.0","CNY",,,"csp","","","","demonCupid",,,,""
"qj1775051670908181988","2026-03-03 21:54:10","日常","交通","支出","380.0","CNY",,,"电动车电池","","","","demonCupid",,,,""
"qj1775051701615179215","2026-03-04 21:54:50","餐饮","外卖","支出","41.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051712553158892","2026-03-04 21:55:12","购物","网购","支出","110.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051728055176023","2026-03-06 21:55:17","餐饮","聚餐","支出","60.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051770100146456","2026-03-06 21:56:10","日常","洗澡","支出","11.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051787068137464","2026-03-07 21:56:14","餐饮","外卖","支出","20.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051806494161232","2026-03-08 21:56:31","日常","运动","支出","43.0","CNY",,,"羽毛球","","","","demonCupid",,,,""
"qj1775051844236179889","2026-03-08 21:57:24","餐饮","外卖","支出","24.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051862525165228","2026-03-09 21:57:26","日常","交通","支出","550.0","CNY",,,"动车票","","","","demonCupid",,,,""
"qj1775051877334141054","2026-03-09 21:57:57","日常","交通","支出","25.0","CNY",,,"滴滴","","","","demonCupid",,,,""
"qj1775051911188145605","2026-03-09 21:58:31","餐饮","聚餐","支出","70.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051932383125735","2026-03-11 21:58:38","日常","交通","支出","553.0","CNY",,,"动车票","","","","demonCupid",,,,""
"qj1775051945678177530","2026-03-11 21:59:05","生活费",,"收入","4500.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051963672185121","2026-03-12 21:59:14","餐饮","外卖","支出","22.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775051979769145035","2026-03-12 21:59:39","日常","交通","支出","33.0","CNY",,,"滴滴","","","","demonCupid",,,,""
"qj1775052007050197195","2026-03-13 21:59:55","餐饮","外卖","支出","22.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052016364113056","2026-03-13 22:00:16","日常","洗澡","支出","12.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052032451197023","2026-03-15 22:00:17","餐饮","外卖","支出","56.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052048912166088","2026-03-18 22:00:33","餐饮","饮品","支出","16.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052059806175061","2026-03-19 22:00:49","餐饮","外卖","支出","21.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052076176117893","2026-03-21 22:01:02","日常","洗澡","支出","10.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052088033142495","2026-03-21 22:01:28","餐饮","外卖","支出","22.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052107108160947","2026-03-22 22:01:32","餐饮","饮品","支出","15.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052128076183463","2026-03-23 22:01:47","日常","洗澡","支出","10.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052139928181728","2026-03-23 22:02:19","日常","学习","支出","30.0","CNY",,,"六级","","","","demonCupid",,,,""
"qj1775052156162177721","2026-03-23 22:02:36","餐饮","饮品","支出","19.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052171609120002","2026-03-24 22:02:40","餐饮","外卖","支出","20.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052179299128849","2026-03-25 22:02:52","餐饮","饮品","支出","15.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052191076102063","2026-03-25 22:03:11","购物","网购","支出","40.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052206345186613","2026-03-26 22:03:13","餐饮","聚餐","支出","30.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052218564194241","2026-03-27 22:03:29","餐饮","饮品","支出","18.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052226638153208","2026-03-27 22:03:46","餐饮","外卖","支出","21.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052252064164957","2026-03-27 22:04:12","日常","话费网费","支出","78.0","CNY",,,"科学上网","","","","demonCupid",,,,""
"qj1775052266528101543","2026-03-27 22:04:26","日常","洗澡","支出","10.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052278523187382","2026-03-31 22:04:29","餐饮","饮品","支出","20.0","CNY",,,"","","","","demonCupid",,,,""
"qj1775052434961161658","2026-03-31 22:07:14","其它",,"支出","200.0","CNY",,,"differential compensation","","","","demonCupid",,,,""
