ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
qj1775090269705186801,2026/2/27 8:37,餐饮,外卖,支出,17,CNY,,,,,,,demonCupid,,,,
qj1775090247676159781,2026/2/26 8:37,餐饮,聚餐,支出,70,CNY,,,,,,,demonCupid,,,,
qj1775090220948161037,2026/2/26 8:36,日常,交通,支出,651,CNY,,,动车票,,,,demonCupid,,,,
qj1775090200606174337,2026/2/26 8:36,日常,交通,支出,20,CNY,,,滴滴,,,,demonCupid,,,,
qj1775090189593177143,2026/2/25 8:36,收红包,,收入,200,CNY,,,四叔爷,,,,demonCupid,,,,
qj1775090161834126121,2026/2/24 8:35,日常,,支出,45,CNY,,,干洗,,,,demonCupid,,,,
qj1775090091106152017,2026/2/21 8:34,日常,,支出,30,CNY,,,,,,,demonCupid,,,,
qj1775090104345186268,2026/2/20 8:34,日常,娱乐,支出,60,CNY,,,,,,,demonCupid,,,,
qj1775090050939125641,2026/2/17 8:34,收红包,,收入,500,CNY,,,舟哥,,,,demonCupid,,,,
qj1775090033434105546,2026/2/17 8:33,收红包,,收入,500,CNY,,,大姨妈,,,,demonCupid,,,,
qj1775090018180106412,2026/2/17 8:33,收红包,,收入,3000,CNY,,,压岁钱,,,,demonCupid,,,,
qj1775090133054167230,2026/2/16 8:35,其它,,支出,200,CNY,,,differential compensation,,,,demonCupid,,,,
qj1775089974112191939,2026/2/12 8:32,生活费,,收入,3000,CNY,,,生活费,,,,demonCupid,,,,
