ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单,日期,月份,年份
qj1775089070065172317,2026-01-01 08:17:00,日常,娱乐,支出,200.0,CNY,,,元旦,,,,demonCupid,,,,,2026-01-01,2026-01,2026
qj1775089098746120074,2026-01-03 08:18:00,餐饮,外卖,支出,22.0,CNY,,,,,,,demonCupid,,,,,2026-01-03,2026-01,2026
qj1775089111559156395,2026-01-05 08:18:00,生活费,,收入,3000.0,CNY,,,,,,,demonCupid,,,,,2026-01-05,2026-01,2026
qj1775089123345187084,2026-01-06 08:18:00,餐饮,外卖,支出,17.0,CNY,,,,,,,demonCupid,,,,,2026-01-06,2026-01,2026
qj1775089136260158492,2026-01-07 08:18:00,餐饮,校园卡,支出,200.0,CNY,,,,,,,demonCupid,,,,,2026-01-07,2026-01,2026
qj1775089144283189036,2026-01-07 08:19:00,餐饮,饮品,支出,10.0,CNY,,,,,,,demonCupid,,,,,2026-01-07,2026-01,2026
qj1775089170055125533,2026-01-08 08:19:00,购物,日用品,支出,30.0,CNY,,,,,,,demonCupid,,,,,2026-01-08,2026-01,2026
qj1775089181784178595,2026-01-09 08:19:00,餐饮,外卖,支出,22.0,CNY,,,,,,,demonCupid,,,,,2026-01-09,2026-01,2026
qj1775089198479103681,2026-01-10 08:19:00,餐饮,校园卡,支出,200.0,CNY,,,,,,,demonCupid,,,,,2026-01-10,2026-01,2026
qj1775089241625160700,2026-01-11 08:20:00,餐饮,饮品,支出,16.0,CNY,,,,,,,demonCupid,,,,,2026-01-11,2026-01,2026
qj1775089228672131574,2026-01-11 08:20:00,日常,未分类,支出,100.0,CNY,,,理发,,,,demonCupid,,,,,2026-01-11,2026-01,2026
qj1775089261121146213,2026-01-13 08:20:00,日常,学习,支出,264.0,CNY,,,美赛,,,,demonCupid,,,,,2026-01-13,2026-01,2026
qj1775089271775161380,2026-01-13 08:21:00,餐饮,外卖,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-01-13,2026-01,2026
qj1775089291898194148,2026-01-14 08:21:00,其它,未分类,支出,400.0,CNY,,,社保,,,,demonCupid,,,,,2026-01-14,2026-01,2026
qj1775089305550164897,2026-01-15 08:21:00,餐饮,外卖,支出,22.0,CNY,,,,,,,demonCupid,,,,,2026-01-15,2026-01,2026
qj1775089323572142598,2026-01-16 08:21:00,餐饮,聚餐,支出,39.0,CNY,,,,,,,demonCupid,,,,,2026-01-16,2026-01,2026
qj1775089337426129958,2026-01-16 08:22:00,餐饮,外卖,支出,21.0,CNY,,,,,,,demonCupid,,,,,2026-01-16,2026-01,2026
qj1775089356510159134,2026-01-17 08:22:00,餐饮,饮品,支出,10.0,CNY,,,,,,,demonCupid,,,,,2026-01-17,2026-01,2026
qj1775089369143159758,2026-01-17 08:22:00,日常,洗澡,支出,12.0,CNY,,,,,,,demonCupid,,,,,2026-01-17,2026-01,2026
qj1775089397206187867,2026-01-18 08:22:00,餐饮,聚餐,支出,53.0,CNY,,,,,,,demonCupid,,,,,2026-01-18,2026-01,2026
qj1775089424472138557,2026-01-19 08:23:00,餐饮,外卖,支出,18.0,CNY,,,,,,,demonCupid,,,,,2026-01-19,2026-01,2026
qj1775089436052115156,2026-01-20 08:23:00,餐饮,外卖,支出,25.0,CNY,,,,,,,demonCupid,,,,,2026-01-20,2026-01,2026
